fullName,monoMass
trp->gly substitution,-129.057849
trp->ala substitution,-115.042199
tyr->gly substitution,-106.041865
arg->gly substitution,-99.079647
trp->ser substitution,-99.047285
tyr->ala substitution,-92.026215
phe->gly substitution,-90.04695
trp->pro substitution,-89.026549
trp->val substitution,-87.010899
arg->ala substitution,-85.063997
trp->thr substitution,-85.031634
trp->cys substitution,-83.070128
his->gly substitution,-80.037448
tyr->ser substitution,-76.0313
phe->ala substitution,-76.0313
met->gly substitution,-74.019021
trp->leu/ile substitution,-72.995249
trp->asn substitution,-72.036386
glu->gly substitution,-72.021129
lys->gly substitution,-71.073499
trp->asp substitution,-71.05237
gln->gly substitution,-71.037114
arg->ser substitution,-69.069083
his->ala substitution,-66.021798
tyr->pro substitution,-66.010565
tyr->val substitution,-63.994915
tyr->thr substitution,-62.01565
tyr->cys substitution,-60.054144
phe->ser substitution,-60.036386
met->ala substitution,-60.003371
arg->pro substitution,-59.048347
trp->gln substitution,-58.020735
asp->gly substitution,-58.005479
glu->ala substitution,-58.005479
trp->lys substitution,-57.98435
lys->ala substitution,-57.057849
trp->glu substitution,-57.03672
arg->val substitution,-57.032697
asn->gly substitution,-57.021464
gln->ala substitution,-57.021464
leu/ile->gly substitution,-56.0626
arg->thr substitution,-55.053433
trp->met substitution,-55.038828
arg->cys substitution,-53.091927
his->ser substitution,-50.026883
phe->pro substitution,-50.01565
tyr->leu/ile substitution,-49.979265
tyr->asn substitution,-49.020401
trp->his substitution,-49.020401
tyr->asp substitution,-48.036386
phe->val substitution,-48
phe->thr substitution,-46.020735
cys->gly substitution,-45.987721
phe->cys substitution,-44.059229
thr->gly substitution,-44.026215
met->ser substitution,-44.008456
asp->ala substitution,-43.989829
arg->leu/ile substitution,-43.017047
asn->ala substitution,-43.005814
arg->asn substitution,-42.058184
leu/ile->ala substitution,-42.04695
val->gly substitution,-42.04695
glu->ser substitution,-42.010565
arg->asp substitution,-41.074168
lys->ser substitution,-41.062935
gln->ser substitution,-41.026549
pro->gly substitution,-40.0313
his->pro substitution,-40.006148
trp->phe substitution,-39.010899
his->val substitution,-37.990498
his->thr substitution,-36.011233
tyr->gln substitution,-35.004751
tyr->lys substitution,-34.968366
his->cys substitution,-34.049727
tyr->glu substitution,-34.020735
met->pro substitution,-33.987721
phe->leu/ile substitution,-33.98435
phe->asn substitution,-33.025486
phe->asp substitution,-32.041471
tyr->met substitution,-32.022844
glu->pro substitution,-31.989829
met->val substitution,-31.972071
cys->ala substitution,-31.972071
lys->pro substitution,-31.042199
gln->pro substitution,-31.005814
ser->gly substitution,-30.010565
thr->ala substitution,-30.010565
met->thr substitution,-29.992806
trp->arg substitution,-29.978202
glu->val substitution,-29.974179
lys->val substitution,-29.026549
gln->val substitution,-28.990164
arg->gln substitution,-28.042534
val->ala substitution,-28.0313
met->cys substitution,-28.0313
arg->lys substitution,-28.006148
asp->ser substitution,-27.994915
glu->thr substitution,-27.994915
arg->glu substitution,-27.058518
lys->thr substitution,-27.047285
asn->ser substitution,-27.010899
gln->thr substitution,-27.010899
leu/ile->ser substitution,-26.052036
glu->cys substitution,-26.033409
pro->ala substitution,-26.01565
tyr->his substitution,-26.004417
lys->cys substitution,-25.085779
arg->met substitution,-25.060626
gln->cys substitution,-25.049393
his->leu/ile substitution,-23.974848
his->asn substitution,-23.015984
trp->tyr substitution,-23.015984
his->asp substitution,-22.031969
azole,-20.026215
arg->his substitution,-19.042199
phe->gln substitution,-19.009836
phe->lys substitution,-18.973451
phe->glu substitution,-18.025821
asp->pro substitution,-17.974179
